url	title	indirizzo	keyword_ristorante	ranking	total_ranking
https://www.ubereats.com/milano/food-delivery/nun-taste-of-middle-east-porta-ticinese/CignhnCsRYKTqKdkVOc7jA	NUN Taste of Middle East - Porta Ticinese	Viale Gian Galeazzo, 2, Milano, 20136	$$ • Halal • Flour based food • Middle Eastern • Eastern European • Sandwich	3.8	(12)
https://www.ubereats.com/milano/food-delivery/kami-sushi/jcOw55U9TFihfdQFEJ64pQ	Kami Sushi	Via Spartaco, 33, Milano, Lombardia 20135	$$ • Sushi • Japanese • Asian	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/poke-away-duomo/W4GflCpPSoelKiadzuXTog	Poke Away - Duomo	Via Santa Tecla, 5, Milano, Lombardia 20122	$ • Hawaiian • Seafood • Salads • Healthy	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/hambroeus/nDMz5qEQSvu65BJnBcDe8w	Hambroeus	Viale Regina Margherita, 30, Milano, Lombardia 20135	$$ • Italian • Sandwich • Healthy • Salads • Alcohol	4.8	(10)
https://www.ubereats.com/milano/food-delivery/macha-cafe-col-di-lana/3BPf1CWYTe-Z_AgCiIkA-g	Macha Cafè - Col di Lana	Viale Col Di Lana, 5, Milano, Lombardia 20136	Healthy • Japanese • Hawaiian	4	(74)
https://www.ubereats.com/milano/food-delivery/poke-fujiyama/TMdiY9e7R6W565LwZjLqJg	Poke Fujiyama	Via Lorenteggio, 5, Milano, 20146	Japanese • Asian • Sushi	4.8	(10)
https://www.ubereats.com/milano/food-delivery/dhole/s2e_0YgVRPekN0Y1KajZaw	Dhole	Via Gerolamo Tiraboschi 2, Milano, 20135	$ • Burgers • Healthy • Sandwich	4.5	(41)
https://www.ubereats.com/milano/food-delivery/tyche-greek-pita-gyros/RFv_mUdKR-KRE4ei6X5TjA	Tyche Greek Pita Gyros	Corso Di Porta Ticinese, 40, Milano, 20123	$ • Italian • Mediterranean • Pizza	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/ichiro-sushi/lD6AWKXtS5WrWqMD3DwrMQ	Ichiro Sushi	Via San Vittore, 6, Milano, Lombardia 20123	$$ • Sushi • Japanese • Asian	3.5	(15)
https://www.ubereats.com/milano/food-delivery/c%26i-ristorante-cinese/inBM7BOcRu-HyDBY2lUqZw	C&I Ristorante Cinese	Via Amatore Sciesa, 24, Milano, Lombardia 20135	$ • Chinese • Asian Fusion • Asian	3.9	(18)
https://www.ubereats.com/milano/food-delivery/da-zero/KOtm4iL9Roi3TDjFGUP8yA	Da Zero	Via Bernardino Luini, 9, 20123 Milano Mi, Italia,	$$ • Pizza • Flour based food • Desserts • Alcohol • European • Mediterranean • Deli • GourmetProducts	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/zakuro/NOzTcjWdT2eHLQxNcRM0SA	Zakuro	Via Vincenzo Monti, 16, 20123 Milano Mi, Italia,	$$ • Sushi • Japanese • Asian • Asian Fusion	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/seven-hill-coffee/F9-CTovzTi-gfj5f2h1vvw	Seven Hill Coffee	Via Amatore Sciesa, 1, Milano, Lombardia 20135	$$ • Breakfast & Brunch • Cafe • Coffee and Tea • Sandwich	View delivery time and booking fee.	Enter your delivery address
