url	title	indirizzo	keyword_ristorante	ranking	total_ranking	company	macro_area	orario_apertura	new_title	lat	lng	google_address	place_id	distanza	distanza_value	distanza_text	quantile
https://www.ubereats.com/milano/food-delivery/il-verzeratt-dal-1919/UmPiGjq_QqKxsHk9qP2D7g	Il Verzeratt dal 1919	Via Osti 2 Milano 20122	Healthy	4.3		uber			il verzeratt dal 1919	45.4590677	9.1922652	Via Orti, 2, 20122 Milano MI, Italy	ChIJrdvMUNzHhkcR2tzTVgDqkNE	{'text': '3.9 km', 'value': 3891}	3.9	3891	4_far
https://www.ubereats.com/milano/food-delivery/valentino-vintage-restaurant/zgMdJj1_R5K0bgIIP_0vtw	Valentino Vintage Restaurant	Corso Monforte 16 Milano Lombardia 20122	Pasta	4.3		uber			valentino vintage restaurant	45.46678	9.199855	Corso Monforte, 16, 20122 Milano MI, Italy	ChIJreu8KrvGhkcRrGYMzILSxpQ	{'text': '6.0 km', 'value': 5958}	6.0	5958	4_far
https://www.ubereats.com/milano/food-delivery/uschiticchiu/fkdxxqqnSeyaAhVFK2EPKg	Uschiticchiu	Piazza Geremia Bonomelli 7 20139 Milano Mi Italia Lombardia 20139	Pasticceria_Gelateria	4.3		uber			uschiticchiu	45.4405923	9.2135477	Piazza Geremia Bonomelli, 7, 20139 Milano MI, Italy	ChIJs6dWHzfEhkcRLkWU45Lr8ng	{'text': '4.2 km', 'value': 4247}	4.2	4247	4_far
https://deliveroo.it/menu/milano/cinque-giornate/cacio-and-pepe-bottega-romana-via-anfossi?day=today&geohash=u0nd8be8xnqv&time=ASAP	Cacio & Pepe Bottega Romana	Via Augusto Anfossi 2 Milano 20135	Pasta	4.5	10 	delivero	Cinque Giornate	Aperti fino alle 22:00	cacio pepe bottega romana	45.4605328	9.208454999999999	Via Augusto Anfossi, 2, 20135 Milano MI, Italy	ChIJs8xFJp_GhkcRU9kEJq8azvY	{'text': '4.2 km', 'value': 4190}	4.2	4190	4_far
https://www.ubereats.com/milano/food-delivery/pizza-italia/8Xx-oBhzRqqFxrQXhbA-gA	Pizza Italia	Via Giacomo Antonini 66 Milano Lombardia 20141	Pizza	4.5		uber			pizza italia	45.4370355	9.1971218	Via Giacomo Antonini, 66, 20141 Milano MI, Italy	ChIJs9J_lmrEhkcRjUPWpXJqn9I	{'text': '2.0 km', 'value': 2011}	2.0	2011	1_short
https://www.ubereats.com/milano/food-delivery/calibreakfast-brera/3loXuqufSzan3K8QfXFDCw	Calibreakfast - Brera	Via Broletto 42 Milano Lombardia 20121	Healthy	3.2	(11)	uber			calibreakfast brera	45.4678124	9.1857501	Via Broletto, 42, 20121 Milano MI, Italy	ChIJsReAp7LGhkcRtBKHAOQvLtI	{'text': '5.2 km', 'value': 5155}	5.2	5155	4_far
https://deliveroo.it/menu/milano/pagano/fratelli-la-bufala-cimarosa?day=today&geohash=u0nd8be8xnqv&time=ASAP	Fratelli La Bufala	Via Domenico Cimarosa 13 Milano 20144	Pizza	3.8	50+ 	delivero	Pagano	Aperti fino alle 23:00	fratelli la bufala	45.464718	9.159239699999999	Via Domenico Cimarosa, 13, 20144 Milano MI, Italy	ChIJsXNe0mDBhkcR_LONDuozBgU	{'text': '4.4 km', 'value': 4381}	4.4	4381	4_far
https://www.ubereats.com/milano/food-delivery/calibreakfast-tribunale/O_OeuV2mSPCMxt3rPt0btA	CaliBreakfast - Tribunale	Via Carlo Freguglia 2 Milano Lombardia 20122	Healthy	3.5	(15)	uber			calibreakfast tribunale	45.4618644	9.2000704	Via Carlo Freguglia, 2, 20122 Milano MI, Italy	ChIJswWJoKbGhkcRnLMegZDm39E	{'text': '4.2 km', 'value': 4227}	4.2	4227	4_far
https://www.ubereats.com/milano/food-delivery/ristorante-sushi-noyi/rvijEXxPTA-kcRzsIGROmQ	Ristorante Sushi Noyi	Via Lodovico Il Moro 13 Milano Lombardia 20143	Sushi	3.5		uber			ristorante sushi noyi	45.4470834	9.153837	Via Lodovico Il Moro, 13, 20143 Milano MI, Italy	ChIJsy-7GcLDhkcR0A1WZnVLzmg	{'text': '2.3 km', 'value': 2254}	2.3	2254	2_average
https://deliveroo.it/menu/milano/tortona/bblack?day=today&geohash=u0nd8be8xnqv&time=ASAP	BBLACK	Via Corsico 1 Milano 20144	Sandwich	4.4	10 	delivero	Tortona	Aperti fino alle 22:00	bblack	45.452607	9.173432	Via Corsico, 1, 20144 Milano MI, Italy	ChIJsyLIz_vDhkcRanGRa6hpfKw	{'text': '1.7 km', 'value': 1652}	1.7	1652	1_short
